bls_code,name,product_category_id,price,protein,fat,carbohydrate,fiber,total_sugar,saturated_fat,kilocalories,kilocalories_with_fiber
SK589,Крупа перловая,22,111,9300,1100,66900,8100,900,300,315,
SK590,Крупа ячневая,22,111,10000,1300,65400,1500,1100,400,313,
SK596,"Крупа пшено
шлифованное",22,111,11500,3300,66500,500,1700,300,342,
SK601,Крупа (кукуруза),22,111,8300,1200,71000,1700,1200,200,328,
SK602,Крахмал (кукуруза),38,111,1000,600,83500,4400,0,100,343,
SK603,Мука (кукуруза),22,111,7200,1500,72100,11200,1300,200,331,
SK604,"Горох, зерно",20,111,20500,2000,49500,10700,4600,200,298,
SK605,"Горох, лущеный",20,111,23000,1600,48100,5000,3400,200,299,
SK608,Горошек зеленый,20,111,5000,200,8300,4900,4000,0,55,
SK609,"Горошек зеленый.
Консервы",20,111,3100,200,6500,13500,3300,0,40,
SK614,"Фасоль, зерно",20,111,21000,2000,47000,3400,3200,200,298,
SK615,Фасоль (стручок),20,111,2500,300,3000,2500,2000,100,23,
SK618,"Чечевица, зерно",20,111,24000,1500,46300,8100,2900,500,295,
SK926,Абрисоковый сок,1,111,500,0,12700,1500,12300,0,55,
SK929,Апельсиновый сок,1,111,700,100,13200,300,13000,0,60,
SK930,Виноградный сок,1,111,300,200,16300,400,16300,0,70,
SK931,Вишневый сок,1,111,700,200,11400,200,11400,0,51,
SK932,Гранатовый сок,1,111,300,100,14200,200,14200,0,56,
SK941,Яблочный сок,1,111,500,100,10100,1000,9900,0,46,
SK942,Морковный сок,1,111,1100,100,12600,1000,12400,0,56,
SK944,Томатный сок,1,111,1000,100,2900,200,2800,0,18,
SK1002,Масло сладко сливочное несоленое,46,111,500,82500,800,0,800,53600,748,
SK1006,Масло сливочное несоленое «Крестьянское»,46,111,800,72500,1300,0,1300,47100,661,
SK1025,Масло кукурузное,44,111,0,99900,0,0,0,14500,899,
SK1028,Масло оливковое,44,111,0,99800,0,0,0,16800,898,
SK1030,Масло подсолнечное,44,111,0,99900,0,0,0,12500,899,
SK1031,Масло рапсовое,44,111,0,99900,0,0,0,10000,899,
KZ1,Казы,29,111,16757,38900,856,33,155,19230,415,416
KZ2,Шужук,29,111,16757,38900,856,33,155,19230,415,416
KZ18,Жент,28,111,5974,17324,62090,4034,23275,11449,430,437
KZ19,Жент с изюмом,28,111,5462,14881,62951,4204,29657,9813,411,419
KZ20,Чак-чак,28,111,4505,10348,61616,1,36631,3,360,150
KZ56,Курт,42,111,52500,5800,2500,,,46160,289,
KZ57,Иримшик,42,111,32100,40000,20400,,,44720,573,
G570902,"Кукуруза консервированная ,без жидкости,",17,111,3122,1170,12630,2754,2694,,76,317
T107200,Скумбрия глубокой заморозки,30,111,18700,11901,0,0,0,8855,181,
T123200,Тунец глубокой заморозки,30,111,23330,4900,0,0,0,10561,138,
T121900,Тунец консервированный  с жидкостью,30,111,18298,3843,0,0,0,8282,108,108
T204200,Треска глубокой заморозки,30,111,17700,690,0,0,0,122,78,78
T410200,Лосось глубокой заморозки,30,111,19900,11199,0,0,0,2898,180,180
C351000,Коричневый рис сырой,22,111,7780,2200,74060,2210,748,619,352,356
E432000,Спагетти сухие,23,111,13297,2780,69910,3380,420,404,362,369
F602101,Лайм сырой цельный,16,111,385,1848,1463,770,1463,439,36,37
H210101,Сладкий миндаль сырой цельный,19,111,12250,27040,2895,5794,2895,2317,300,311
H130101,Фундук сырой цельный,19,111,6825,26586,2507,3234,2507,2251,273,279
H250101,Фисташки сырые цельные,19,111,11025,27348,6122,5623,1224,3310,311,322
H1101010,Арахис сырой цельный,19,111,20843,33670,5236,8217,1845,6356,403,419
H320100,Кедровые орехи сырые,19,111,24000,50700,7300,7200,146,6106,575,589
